gene_symbol,reference,organism_name,organism_line_id,sex,change_value,p_value,sample,min_age_of_controls,min_age_of_experiment,mean_age_of_controls,mean_age_of_experiment,max_age_of_controls,max_age_of_experiment,age_units,change_type,n_of_controls,n_of_experiment,statistical_method,change_evaluation_by,measurement_method,comment,pmid
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,44.0%,<0.05,thymus,n/a,n/a,1,6,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,100.0%,<0.05,thymus,n/a,n/a,6,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,44%,<0.05,thymus,n/a,n/a,1,6,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
IGFBP5,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,"228,60%",<0.05,thymus,n/a,n/a,6,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,218.0%,<0.05,brain,n/a,n/a,1,6,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,86.0%,<0.05,brain,n/a,n/a,1,6,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,213.0%,<0.05,testis,n/a,n/a,1,6,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,43.0%,<0.05,quadriceps muscle,n/a,n/a,1,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,75.0%,<0.05,kidney,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,107.0%,<0.05,brain,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,30%,<0.05,quadriceps muscle,n/a,n/a,1,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,83%,<0.05,kidney,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,100%,<0.05,brain,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,173.0%,<0.05,testis,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,333.0%,<0.05,ovary,n/a,n/a,1,6,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,500.0%,<0.05,ovary,n/a,n/a,1,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,80.0%,<0.05,tibia,n/a,n/a,1,6,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,48.0%,<0.05,tibia,n/a,n/a,1,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,male,52.0%,<0.05,kidney,n/a,n/a,6,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,84%,<0.05,tibia,n/a,n/a,1,6,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,58%,<0.05,tibia,n/a,n/a,1,18,n/a,n/a,months,decreased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
PAPPA,10.1016/j.exger.2014.04.011,mouse,C57BL/6 x 129,female,34%,<0.05,kidney,n/a,n/a,6,18,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,mRNA,n/a,"qPCR. Relative quantification, fold change and statistical significance of gene expression were determined by the Pfaffl method using the relative expression software tool (REST) 2009 (QIAGEN Inc., Valencia, CA).",n/a
SIRT7,10.3389/fncel.2015.00167,rat,Wistar,female,91.0%,<0.01,frontal lobe,n/a,n/a,3,12,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,protein,n/a,n/a,n/a
SIRT7,10.3389/fncel.2015.00167,rat,Wistar,female,145.0%,<0.01,frontal lobe,n/a,n/a,3,24,n/a,n/a,months,increased gene expression,n/a,n/a,n/a,protein,n/a,n/a,n/a
MSRA,10.1007/s11357-011-9268-7,rat,Wistar,female,38.0%,<0.05,spleen,n/a,n/a,2,24,n/a,n/a,months,reduced protein activity,15,17,Student t-test,protein,n/a,n/a,n/a
MSRA,10.1007/s11357-011-9268-7,rat,Wistar,female,52.0%,<0.05,liver,n/a,n/a,2,24,n/a,n/a,months,increased protein activity,15,17,Student t-test,protein,n/a,n/a,n/a
KL,10.1007/s11357-011-9315-4,rhesus monkey,Macaca mulatta,all,n/a,<0.05,white matter,"3,8",20,"7,68","24,35",15,"30,2",years,increased gene methylation,7,15,Student t-test,n/a,n/a,"Individual CpG motifs across the region of interest with increased methylation in old animals were identified. In vitro methyl modification of these individual cytosine residues confirmed that methylation of the promoter can decrease gene transcription. These results provide evidence that changes in KL gene expression with age may, at least in part, be the result of epigenetic changes to the 5′ regulatory region.",n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,47.0%,<0.05,whole organism,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,250.0%,<0.05,heart,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,120.0%,<0.05,heart,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,120.0%,<0.05,intestine,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,140.0%,<0.05,intestine,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,90.0%,<0.05,testis,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,210.0%,<0.001,testis,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,52.0%,<0.05,muscle,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT2,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,47.0%,<0.05,muscle,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,93.0%,,whole organism,n/a,n/a,0,5,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,86.0%,,whole organism,n/a,n/a,0,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,64.0%,,whole organism,n/a,n/a,0,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,58.3%,<0.01,brain,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,90.0%,<0.05,heart,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,230.0%,<0.001,heart,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,130.0%,<0.05,testis,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,160.0%,<0.01,testis,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT3,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,70.0%,<0.05,kidney,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,247.0%,,whole organism,n/a,n/a,0,5,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,133.0%,,whole organism,n/a,n/a,0,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,153.0%,,whole organism,n/a,n/a,0,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,220.0%,<0.01,liver,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,190.0%,<0.05,heart,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,83.3%,<0.05,heart,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,1440.0%,<0.05,intestine,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,1550.0%,<0.001,intestine,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,110.0%,<0.01,muscle,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT4,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,140.0%,<0.01,muscle,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,662.5%,,whole organism,n/a,n/a,0,5,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,"Levels of Sirt5a paralog were significantly increased, while levels of Sirt5b were unchanged.",n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,462.5%,,whole organism,n/a,n/a,0,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,"Levels of Sirt5a paralog were significantly increased, while levels of Sirt5b were unchanged.",n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,237.5%,,whole organism,n/a,n/a,0,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,"Levels of Sirt5a paralog were significantly increased, while levels of Sirt5b were unchanged.",n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,66.7%,<0.001,intestine,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5a paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,54.5%,<0.01,intestine,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5a paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,63.0%,<0.01,muscle,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5a paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,67.7%,<0.01,muscle,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5a paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,63.0%,<0.01,testis,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5a paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,44.4%,<0.001,testis,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5a paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,41.2%,<0.05,heart,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5b paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,90.0%,<0.001,muscle,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5b paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,60.0%,<0.05,kidney,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5b paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,54.4%,<0.05,testis,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5b paralog,n/a
SIRT5,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,44.4%,<0.001,testis,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,Sirt5b paralog,n/a
SIRT6,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,180.0%,<0.01,heart,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT6,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,200.0%,<0.01,heart,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT6,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,47.4%,<0.05,intestine,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT6,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,50.0%,<0.01,muscle,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT6,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,54.5%,<0.001,muscle,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,200.0%,,whole organism,n/a,n/a,0,5,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,83.0%,,whole organism,n/a,n/a,0,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,8.3%,,whole organism,n/a,n/a,0,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,100.0%,<0.05,brain,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,80.0%,<0.01,liver,n/a,n/a,5,11,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,100.0%,<0.05,liver,n/a,n/a,5,13,n/a,n/a,weeks,increased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,66.7%,<0.01,intestine,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,67.7%,<0.001,intestine,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,65.5%,<0.05,muscle,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,75.0%,<0.01,muscle,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,67.7%,<0.01,testis,n/a,n/a,5,11,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
SIRT7,10.1016/j.gep.2019.05.001,fish Nothobranchius furzeri,GRZ,male,56.5%,<0.01,testis,n/a,n/a,5,13,n/a,n/a,weeks,decreased gene expression,n/a,qPCR,Student t-test,mRNA,n/a,n/a,n/a
FOXO1,10.1002/jemt.10213,rat,F344/N,male,15.4%,ns,skeletal muscles,n/a,n/a,3,6,n/a,n/a,months,increased gene expression,5,5,ANOVA,mRNA,northern blot,The effect of age on the level of FOXO1 mRNA in the skeletal muscles of rats was investigated (n = 5 in each age group). The level of RNA expression was determined by Northern blot analysis.,n/a
FOXO1,10.1002/jemt.10213,rat,F344/N,male,6.15%,ns,skeletal muscles,n/a,n/a,3,12,n/a,n/a,months,increased gene expression,5,5,ANOVA,mRNA,northern blot,The effect of age on the level of FOXO1 mRNA in the skeletal muscles of rats was investigated (n = 5 in each age group). The level of RNA expression was determined by Northern blot analysis.,n/a
FOXO1,10.1002/jemt.10213,rat,F344/N,male,29.23%,ns,skeletal muscles,n/a,n/a,3,26,n/a,n/a,months,increased gene expression,5,5,ANOVA,mRNA,northern blot,The effect of age on the level of FOXO1 mRNA in the skeletal muscles of rats was investigated (n = 5 in each age group). The level of RNA expression was determined by Northern blot analysis.,n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,62.0%,<0.05,kidney,n/a,n/a,3,24,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"The amounts of both GCS subunit mRNAs were significantly decreased with increased age in kidney (62% decrease in GCS-HS mRNA in 24 month old rats, compared with 3 month old rats).",n/a
GCLC,10.1016/s0891-5849(99)00269-5,rat,F344,all,53.0%,<0.05,liver,n/a,n/a,3,24,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"Decrease in GCS mRNA content with increased age was found in liver (53% decrease in GCS-HS in 24 month old rats, compared to 3 month old rats).",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,20.0%,<0.05,kidney,n/a,n/a,3,12,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"The amounts of both GCS subunit mRNAs were significantly decreased with increased age in kidney (20 and 60% decrease in GCS-LS mRNA in 12 and 24 month old rats, respectively, compared with 3 month old rats).",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,60.0%,<0.05,kidney,n/a,n/a,3,24,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"The amounts of both GCS subunit mRNAs were significantly decreased with increased age in kidney (20 and 60% decrease in GCS-LS mRNA in 12 and 24 month old rats, respectively, compared with 3 month old rats).",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,30.0%,<0.05,liver,n/a,n/a,3,12,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"Decrease in GCS mRNA content with increased age was found in liver (30 and 48% decrease in GCS-LS in 12 and 24 month old rats, respectively, compared to 3 month old rats).",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,48.0%,<0.05,liver,n/a,n/a,3,24,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"Decrease in GCS mRNA content with increased age was found in liver (30 and 48% decrease in GCS-LS in 12 and 24 month old rats, respectively, compared to 3 month old rats).",n/a
GCLM,10.1016/s0891-5849(99)00269-5,rat,F344,all,33.0%,<0.05,lung,n/a,n/a,3,24,n/a,n/a,months,decreased gene expression,n/a,n/a,ANOVA,mRNA,northern blot,"In lung tissues however, only GCS-LS mRNA content was found to be significantly decreased (33%) in old rats compared to young and adult rats.",n/a
