gene_id,gene_symbol,gene_name,organism,p_value,sample,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_controls,max_age_of_controls,min_age_of_experiment,max_age_of_experiment,n_of_controls,n_of_experiment,reference,fc,log_fc,change_value,q-value
,TMEM9,transmembrane protein 9,human,"0,00031",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.7018205575641,,"-29,81794424",
,TMEM9,transmembrane protein 9,human,"0,00016",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.6725290716007027,,"-32,74709284",
,TMX1,thioredoxin-related transmembrane protein,human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.157339046,,"15,7339046",
,TOMM20-PENDING,translocase of outer mitochondrial membrane 20 (yeast) homolog,human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.208619024,,"20,8619024",
,TOP2B,topoisomerase (DNA) II beta (180kD),human,"0,0148",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.15567061,,"15,567061",
,TP53INP1,tumor protein p53 inducible nuclear protein 1,human,"0,0104",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.2794919839557155,,"27,9491984",
,TP53TG1,TP53 target gene 1,human,"0,0104",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.813789959,,"-18,6210041",
,TP63,Tumor protein p63,human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.597558878,,"59,7558878",
,TPM3,tropomyosin 3,human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.4619004865866834,,"46,19004866",
,TRIM55,ring finger protein 29,human,"0,065",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.179551067331384,,"17,95510673",
,TRIO,triple functional domain (PTPRF interacting),human,"0,0019",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.74795254,,"-25,204746",
,TRIP12,thyroid hormone receptor interactor 12,human,"0,00031",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.305189018,,"30,5189018",
,TRM5,EST similar to nonhistone chromosomal protein HMG-17,human,"0,00016",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.309350229,,"30,9350229",
,TSNAX,Translin-associated factor X,human,"0,0148",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.25603008,,"25,603008",
,TTC4,Tetratricopeptide repeat domain 4,human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.291422164,,"29,1422164",
,TTLL12,KIAA0153 protein,human,"0,00031",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.818214974,,"-18,1785026",
,TULIP1,likely ortholog of mouse tuberin-like protein 1,human,"0,00016",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.356949678,,"35,6949678",
,TXNDC11,hypothetical protein LOC51061,human,"0,007",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.7635320724835837,,"-23,64679275",
,UBA2,SUMO-1 activating enzyme subunit 2,human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.232563554,,"23,2563554",
,UBCE7IP4,likely ortholog of mouse ubiquitin conjugating enzyme 7 interacting protein 4,human,"0,0011",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.743807359,,"-25,6192641",
,UBE2B,ubiquitin-conjugating enzyme E2B,human,"0,0104",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.186072311,,"18,6072311",
,UBL5,ubiquitin-like 5,human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.2767608937411403,,"27,67608937",
,URM1,hypothetical protein MGC2668,human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.795017845,-0.33094085134059953,-20,5.234573694
,USP1,ubiquitin specific protease 1,human,"0,0148",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.242667307,,"24,2667307",
,USP6,ubiquitin specific protease 6,human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.346386072,,"34,6386072",
,VAMP3,vesicle-associated membrane protein 3,human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.165830605,,"16,5830605",
,VDP,vesicle docking protein p115,human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.229137362,,"22,9137362",
,VEGFC,vascular endothelial growth factor C,human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.764399934,,"-23,5600066",
,VPS26A,vacuolar protein sorting 26 (yeast homolog),human,"0,003",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.145599586,,"14,5599586",
,VRK3,vaccinia related kinase 3,human,"0,00062",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.751808845,,"-24,8191155",
,WDR12,WD repeat domain 12,human,"0,0047",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.849798609,,"-15,0201391",
,WDR4,WD repeat domain 4,human,"0,00062",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.689513818,,"-31,0486182",
,WSB1,SOCS box-containing WD protein SWiP-1,human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.240982253,,"24,0982253",
,WWOX,WW domain containing oxidoreductase,human,"0,0047",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.827879658,,"-17,2120342",
,YWHAZ,"brain protein 14-3-3, zeta isoform",human,"0,003",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.39441239,,"39,441239",
,YY1,YY1 transcription factor,human,"0,00031",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.205583486,,"20,5583486",
,ZBTB8A,hypothetical protein MGC17919,human,"0,003",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.2327289249940943,,"23,2728925",
,ZCCHC3,chromosome 20 open reading frame 99,human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.8783450303354288,-0.18714032622729834,-12,5.385423359
,ZFP103,zinc finger protein homologous to Zfp103 in mouse,human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.232407962,,"23,2407962",
,ZFP36,zinc finger protein homologous to Zfp-36 in mouse,human,"0,0104",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.808059574,,"80,8059574",
,ZFP36L2,"Zinc finger protein 36, C3H type-like 2",human,"0,00062",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.463409217,,"46,3409217",
,ZFP385,likely ortholog of mouse zinc finger protein 385,human,"0,007",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.8285923860441378,,"-17,1407614",
,ZFP64,zinc finger protein 64 homolog (mouse),human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.7893190419020598,,"-21,06809581",
,ZFTRAF1,hypothetical protein MGC13010,human,"0,0019",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.8267952444023718,-0.27439800425758426,-17,7.08522883
,ZNF131,zinc finger protein 131 (clone pHZ-10),human,"0,003",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.339834551937761,,"33,98345519",
,ZNF144,zinc finger protein 144,human,"0,0011",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.854108064,,"-14,5891936",
,ZNF144,zinc finger protein 144,human,"0,0104",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.8372920717189044,,"-16,27079283",
,ZNF19,zinc finger protein 19 (KOX 12),human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.8279107107904692,,"-17,20892892",
,ZNF419,hypothetical protein FLJ23233,human,"0,007",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.855125899,,"-14,4874101",
,ZNF576,hypothetical protein MGC2508,human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.739301851,-0.43576456945042724,-26,5.074085998
,ZNF785,hypothetical protein FLJ32130,human,"0,0148",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.7712880903443559,,"-22,87119097",
,ZSCAN5A,hypothetical protein MGC4161,human,"0,00062",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.771523783,,"-22,8476217",
,ZYG,ZYG homolog,human,"0,00031",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.663873882,,"-33,6126118",
,,metallothionein 1H-like protein,human,"0,00031",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.635809078,,"63,5809078",
,,heterogeneous nuclear protein similar to rat helix destabilizing protein,human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.375315723,,"37,5315723",
,,heterogeneous nuclear protein similar to rat helix destabilizing protein,human,"0,00031",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.343940698,,"34,3940698",
,,strand-exchange protein 1,human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.3311807591419091,,"33,11807591",
,,"phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)",human,"0,0148",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.327410333,,"32,7410333",
,,protein kinase CLK4,human,"0,00031",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.303745275,,"30,3745275",
,,Histone H2A.F/Z variant,human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.302457163,,"30,2457163",
,,"similar to yeast Upf3, variant A",human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.292017845,,"29,2017845",
,,"ESTs, Highly similar to protein kinase, interferon-inducible double stranded RNA dependent activator; protein activator of the interferon-induced protein kinase",human,"0,0281",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.2859662187815075,,"28,59662188",
,,"Est similar to protein inhibitor of activated STAT, 1",human,"0,0019",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.283447033,,"28,3447033",
,,calmodulin-I,human,"0,0104",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.249111853,,"24,9111853",
,,homolog of mouse quaking QKI (KH domain RNA binding protein),human,"0,0207",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.237410359,,"23,7410359",
,,"Type II AF10/CALM fusion protein [Homo sapiens], mRNA sequence",human,"0,003",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.200479468,,"20,0479468",
,,protein similar to heterogenous nuclear ribonucleoprotein A1,human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.19673996,,"19,673996",
,,EST highly similar to HSHU33 histone H3.3,human,"0,0207",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.193731502,,"19,3731502",
,,PNAS-13,human,"0,00031",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.8409733416050011,,"-15,90266584",
,,cytochrome c oxidase subunit VIIb (COX7BP1) pseudogene,human,"0,00031",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.827825372,,"-17,2174628",
,,DNAJ domain-containing,human,"0,0047",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.822849614,,"-17,7150386",
,,PNAS-13,human,"0,0281",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.822240776004788,,"-17,7759224",
,,pancreatic beta cell growth factor,human,"0,0019",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.801983037,,"-19,8016963",
,,immunoglobulin lambda light chain,human,"0,003",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.77709282,,"-22,290718",
,,"ESTs, Highly similar to G01478 thrombospondin-p50 - human (fragment) [H.sapiens]",human,"0,0011",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.750212238,,"-24,9787762",
,,"Nuclear protein p30 [Homo sapiens], mRNA sequence",human,"0,0011",muscle,decreased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,0.7612831688949282,,"-23,87168311",
,,"Homo sapiens, clone IMAGE:5287010, mRNA, mRNA sequence",human,"0,0019",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.345592965,,"34,5592965",
,,hypothetical protein FLJ11210,human,"0,0019",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.248570863,,"24,8570863",
,,"ESTs, Weakly similar to hypothetical protein FLJ20234 [Homo sapiens] [H.sapiens]",human,"0,00062",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,2.2256972949683362,1.1542573928847066,122,2.835248776
,,"Homo sapiens cDNA FLJ11757 fis, clone HEMBA1005606, mRNA sequence",human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.847882459553986,0.885872992461961,84,7.425651557
,,"Homo sapiens mRNA; cDNA DKFZp761P06121 (from clone DKFZp761P06121), mRNA sequence",human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.7162955387567589,0.7792980001491808,71,1.555448981
,,"Homo sapiens mRNA; cDNA DKFZp586N2424 (from clone DKFZp586N2424), mRNA sequence",human,"0,00016",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.6287208670415296,0.7037393735129156,62,1.555448981
,,"Homo sapiens cDNA: FLJ23573 fis, clone LNG12520, mRNA sequence",human,"0,0148",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.5982795524800764,0.6765197697825098,59,6.354174563
,,ESTs,human,"0,00016",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.582236332,0.6619651052086987,58,4.695695038
,,ESTs,human,"0,0019",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.5512293954283585,0.6334120475445131,55,4.695695038
,,"Hypothetical protein [Homo sapiens], mRNA sequence",human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.5248830202937775,0.6086985721737298,52,5.506014094
,,"Homo sapiens cDNA FLJ14041 fis, clone HEMBA1005780, mRNA sequence",human,"0,0011",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.5065258090846612,0.591225388710342,50,1.555448981
,,"Homo sapiens cDNA FLJ31353 fis, clone MESAN2000264, mRNA sequence",human,"0,007",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.492734947369384,0.5779580207553181,49,5.074085998
,,"ESTs, Weakly similar to hypothetical protein FLJ20234 [Homo sapiens] [H.sapiens]",human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.4879879586673461,0.5733628516870765,48,4.083053576
,,ESTs,human,"0,0019",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.471857516271377,0.5576380175103772,47,2.835248776
,,null,human,"0,0019",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.469987015,0.5558034111991598,46,9.271695889
,,"ESTs, Weakly similar to hypothetical protein FLJ20234 [Homo sapiens] [H.sapiens]",human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.4607309157347852,0.5466904407772937,46,6.354174563
,,"Homo sapiens, clone IMAGE:4245930, mRNA, mRNA sequence",human,"0,0104",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.458610178339686,0.5445943665176955,45,6.354174563
,,ESTs,human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.458483062250654,0.544468631934496,45,5.915805962
,,"ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]",human,"0,00062",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.448262883304812,0.5343234988417866,44,2.835248776
,,"Homo sapiens cDNA FLJ39761 fis, clone SPLEN1000083, mRNA sequence",human,"0,0104",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.4383631379825284,0.5244279534043417,43,5.385423359
,,"ESTs, Moderately similar to breast cancer antigen NY-BR-1 [Homo sapiens] [H.sapiens]",human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.4348560396785486,0.520905997346682,43,5.915805962
,,ESTs,human,"0,0047",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.427371556700594,0.5133609292320873,42,5.506014094
,,"Homo sapiens cDNA FLJ11946 fis, clone HEMBB1000709, mRNA sequence",human,"0,003",muscle,increased gene expression,mRNA,male,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,8,8,10.1152/physiolgenomics.00049.2003,1.41461651,0.5004110042187991,41,5.234573694
